firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
WALTER,3147,4.512,85.796,7.69,1.875,0.032,0.095,
WALTRAUD,17,0,100,0,0,0,0,
WAN,56,0,7.143,0,91.071,0,1.786,
WANDA,1332,4.204,77.553,16.517,1.126,0.3,0.3,
WANG,24,0,0,0,100,0,0,
WARD,123,0,98.374,0,0.813,0,0.813,
WARNER,46,4.348,80.435,8.696,6.522,0,0,
WARREN,1217,0.575,86.031,7.477,5.341,0.247,0.329,
WAYNE,3455,0.695,90.478,4.718,3.849,0.087,0.174,
WEI,406,0.493,0.739,0,98.276,0,0.493,
WEIDONG,18,0,0,0,100,0,0,
WEIMIN,24,0,0,0,100,0,0,
WEIMING,17,0,0,0,100,0,0,
WEIPING,15,0,0,0,100,0,0,
WELDON,64,0,90.625,9.375,0,0,0,
WEN,149,0,1.342,0,97.987,0,0.671,
WENDE,21,0,100,0,0,0,0,
WENDEE,15,0,100,0,0,0,0,
WENDELL,276,0.725,67.754,26.812,4.348,0,0.362,
WENDI,244,1.23,96.721,0.41,1.639,0,0,
WENDIE,30,0,96.667,0,3.333,0,0,
WENDY,3963,2.801,91.648,1.615,3.76,0.126,0.05,
WERNER,67,5.97,91.045,1.493,1.493,0,0,
WES,43,0,95.349,0,4.651,0,0,
WESLEY,1136,0.44,91.637,3.873,3.697,0.264,0.088,
WESTON,73,1.37,98.63,0,0,0,0,
WHITNEY,477,0.629,95.388,2.516,1.258,0.21,0,
WIESLAW,46,0,100,0,0,0,0,
WIESLAWA,19,0,100,0,0,0,0,
WILBERT,104,9.615,39.423,45.192,4.808,0.962,0,
WILBUR,137,4.38,78.102,13.139,4.38,0,0,
WILBURN,31,0,90.323,9.677,0,0,0,
WILDA,34,20.588,70.588,8.824,0,0,0,
WILEY,52,0,84.615,15.385,0,0,0,
WILFORD,35,0,74.286,11.429,11.429,2.857,0,
WILFRED,146,5.479,57.534,21.918,15.068,0,0,
WILFREDO,181,67.956,8.84,0,23.204,0,0,
WILHELMINA,38,0,55.263,21.053,23.684,0,0,
WILL,116,6.034,81.034,7.759,5.172,0,0,
WILLA,60,1.667,66.667,30,1.667,0,0,
WILLARD,251,1.594,91.235,5.976,1.195,0,0,
WILLIAM,31935,1.397,94.523,2.558,1.3,0.103,0.119,
WILLIE,901,2.22,18.868,75.916,2.553,0.111,0.333,
WILLIS,164,0,82.317,12.195,4.878,0,0.61,
WILLY,35,20,42.857,5.714,31.429,0,0,
WILMA,319,4.389,75.549,13.166,6.583,0.313,0,
WILMER,62,45.161,46.774,6.452,1.613,0,0,
WILSON,318,23.27,41.509,9.119,25.786,0,0.314,
WINDY,34,0,76.471,8.824,14.706,0,0,
WING,89,0,0,0,98.876,0,1.124,
WINIFRED,135,0,74.815,17.778,6.667,0.741,0,
WINNIE,111,2.703,18.919,6.306,72.072,0,0,
WINONA,36,2.778,75,5.556,13.889,0,2.778,
WINSTON,207,5.797,44.928,32.367,16.908,0,0,
WITOLD,15,0,100,0,0,0,0,
WOJCIECH,72,0,100,0,0,0,0,
WOLFGANG,74,1.351,98.649,0,0,0,0,
WON,76,0,2.632,0,97.368,0,0,
WOO,31,0,0,0,100,0,0,
WOODROW,91,0,80.22,18.681,1.099,0,0,
WOON,15,0,0,0,100,0,0,
WYATT,98,1.02,92.857,4.082,1.02,0,1.02,
WYNNE,24,0,100,0,0,0,0,
XAVIER,115,50.435,30.435,16.522,2.609,0,0,
XI,40,0,2.5,0,97.5,0,0,
XIA,25,0,0,0,100,0,0,
XIAN,24,0,0,0,100,0,0,
XIANG,51,0,0,0,100,0,0,
XIAO,154,0,1.948,0,98.052,0,0,
XIAODONG,52,0,0,0,100,0,0,
XIAOFENG,27,0,0,0,100,0,0,
XIAOHONG,24,0,0,0,100,0,0,
XIAOPING,23,0,0,0,100,0,0,
XIN,135,1.481,0.741,0,97.778,0,0,
XING,42,0,2.381,0,97.619,0,0,
XIOMARA,36,80.556,11.111,8.333,0,0,0,
XIONG,19,0,0,0,100,0,0,
XIU,48,0,0,0,100,0,0,
XOCHITL,36,69.444,25,0,5.556,0,0,
XU,45,0,0,0,100,0,0,
XUAN,59,0,1.695,1.695,96.61,0,0,
XUE,51,0,0,0,100,0,0,
XUEJUN,15,0,0,0,100,0,0,
XUN,17,0,0,0,100,0,0,
YADIRA,68,86.765,11.765,1.471,0,0,0,
YAKOV,35,0,100,0,0,0,0,
YAN,263,0.38,7.224,0.38,91.255,0,0.76,
YANA,40,0,100,0,0,0,0,
YANET,22,100,0,0,0,0,0,
YANG,125,0.8,0,0,99.2,0,0,
YAO,62,0,1.613,3.226,95.161,0,0,
YARON,21,0,100,0,0,0,0,
YASMIN,69,31.884,30.435,7.246,28.986,0,1.449,
YE,31,3.226,3.226,0,93.548,0,0,
YEE,41,0,4.878,0,95.122,0,0,
YEFIM,15,0,100,0,0,0,0,
YELENA,147,0.68,99.32,0,0,0,0,
YEN,94,1.064,2.128,0,96.809,0,0,
YESENIA,119,91.597,7.563,0.84,0,0,0,
YEVGENIY,63,0,100,0,0,0,0,
YEVGENIYA,17,0,100,0,0,0,0,
YI,206,0.485,1.942,0,97.087,0,0.485,
YIN,48,0,6.25,0,93.75,0,0,
YING,192,0,3.125,0,96.354,0,0.521,
YIU,20,0,0,0,100,0,0,
YOGESH,36,0,8.333,0,91.667,0,0,
YOKO,31,0,12.903,0,87.097,0,0,
YOLANDA,1003,56.929,19.043,19.342,4.287,0.199,0.199,
YONG,369,0.542,5.149,0,94.309,0,0,
YOON,44,0,4.545,0,95.455,0,0,
YOSHIKO,16,0,0,0,100,0,0,
YOUNG,437,0,2.746,0.229,96.796,0,0.229,
YOUSSEF,48,2.083,85.417,4.167,8.333,0,0,
YU,227,0.441,2.203,0,97.357,0,0,
YUAN,78,0,1.282,0,98.718,0,0,
YUE,89,0,2.247,0,97.753,0,0,
YUK,27,0,0,0,100,0,0,
YULIA,21,0,100,0,0,0,0,
YULIYA,51,0,100,0,0,0,0,
YUN,134,0.746,1.493,0,96.269,0.746,0.746,
YUNG,42,2.381,0,0,97.619,0,0,
YURI,81,11.111,76.543,0,12.346,0,0,
YURIY,100,0,100,0,0,0,0,
YVES,37,0,64.865,29.73,5.405,0,0,
YVETTE,439,22.779,53.986,21.412,1.595,0.228,0,
YVONNE,1296,10.185,65.278,18.364,5.247,0.54,0.386,
ZACH,51,1.961,98.039,0,0,0,0,
ZACHARIAH,55,1.818,92.727,3.636,0,1.818,0,
ZACHARY,1116,0.806,95.968,1.613,0.986,0.269,0.358,
ZACHERY,33,0,96.97,3.03,0,0,0,
ZACK,33,3.03,87.879,6.061,3.03,0,0,
ZAHRA,37,0,78.378,2.703,18.919,0,0,
ZANE,96,1.042,95.833,1.042,2.083,0,0,
ZBIGNIEW,100,0,100,0,0,0,0,
ZDZISLAW,17,0,100,0,0,0,0,
ZELJKO,21,0,100,0,0,0,0,
ZENAIDA,100,31,10,0,59,0,0,
ZENON,38,21.053,78.947,0,0,0,0,
ZHANNA,30,3.333,96.667,0,0,0,0,
ZHAO,23,0,0,0,100,0,0,
ZHE,22,0,0,0,100,0,0,
ZHEN,66,0,0,0,100,0,0,
ZHENG,47,2.128,0,0,97.872,0,0,
ZHI,85,0,3.529,0,94.118,0,2.353,
ZHIGANG,16,0,0,0,100,0,0,
ZHIQIANG,18,0,0,0,100,0,0,
ZHIYONG,17,0,0,0,100,0,0,
ZHONG,72,0,0,0,100,0,0,
ZHUO,28,0,0,0,100,0,0,
ZI,16,0,0,0,100,0,0,
ZINA,31,3.226,70.968,22.581,3.226,0,0,
ZOE,102,3.922,87.255,4.902,3.922,0,0,
ZOFIA,55,0,100,0,0,0,0,
ZOILA,66,86.364,12.121,1.515,0,0,0,
ZOLTAN,47,6.383,87.234,4.255,2.128,0,0,
ZORAN,52,0,100,0,0,0,0,
