firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
NEETA,31,3.226,22.581,0,70.968,3.226,0,
NEHA,45,0,24.444,2.222,73.333,0,0,
NEIL,1476,1.152,94.783,1.016,2.778,0.136,0.136,
NELDA,83,12.048,79.518,6.024,2.41,0,0,
NELIA,34,17.647,32.353,0,50,0,0,
NELL,42,0,92.857,7.143,0,0,0,
NELLA,16,0,100,0,0,0,0,
NELLIE,168,19.643,58.333,14.286,7.143,0.595,0,
NELLY,110,55.455,31.818,1.818,10.909,0,0,
NELSON,694,37.608,46.398,3.746,11.527,0.576,0.144,
NENITA,51,3.922,11.765,0,84.314,0,0,
NESTOR,146,64.384,10.959,0.685,23.973,0,0,
NETTIE,46,0,54.348,45.652,0,0,0,
NEVA,51,1.961,96.078,0,0,1.961,0,
NEVILLE,43,2.326,65.116,30.233,2.326,0,0,
NEVIN,37,0,83.784,0,13.514,2.703,0,
NEWTON,39,5.128,71.795,7.692,15.385,0,0,
NGA,89,0,0,0,100,0,0,
NGAN,32,0,3.125,0,96.875,0,0,
NGHIA,64,0,3.125,0,96.875,0,0,
NGOC,93,0,2.151,0,97.849,0,0,
NGUYEN,49,2.041,2.041,0,93.878,0,2.041,
NGUYET,31,0,0,0,100,0,0,
NHAN,62,0,0,0,98.387,0,1.613,
NHU,23,0,0,0,100,0,0,
NIALL,30,0,100,0,0,0,0,
NICHOL,34,0,88.235,8.824,2.941,0,0,
NICHOLAS,4673,2.525,95.035,1.305,1.006,0.021,0.107,
NICHOLAUS,15,0,100,0,0,0,0,
NICHOLE,410,1.707,87.805,9.512,0.488,0,0.488,
NICK,545,6.972,85.688,0.367,6.606,0.183,0.183,
NICKI,60,1.667,95,1.667,1.667,0,0,
NICKIE,30,0,96.667,3.333,0,0,0,
NICKOLAS,106,2.83,94.34,0.943,0,0.943,0.943,
NICKY,38,5.263,78.947,2.632,13.158,0,0,
NICOLA,181,1.105,87.845,9.392,1.105,0.552,0,
NICOLAE,36,5.556,91.667,0,2.778,0,0,
NICOLAS,374,44.118,51.872,1.337,2.674,0,0,
NICOLE,4188,2.436,91.141,4.99,1.194,0.096,0.143,
NICOLETTA,22,0,100,0,0,0,0,
NICOLETTE,92,4.348,92.391,2.174,1.087,0,0,
NICOLLE,40,0,92.5,5,2.5,0,0,
NIELS,34,0,100,0,0,0,0,
NIGEL,100,0,79,15,6,0,0,
NIKHIL,45,0,28.889,0,71.111,0,0,
NIKI,59,0,86.441,1.695,11.864,0,0,
NIKKI,301,4.319,82.724,6.312,5.98,0.664,0,
NIKOLA,22,0,100,0,0,0,0,
NIKOLAI,32,0,96.875,0,0,0,3.125,
NIKOLAOS,51,0,98.039,0,0,1.961,0,
NIKOLAS,43,2.326,90.698,4.651,2.326,0,0,
NIKOLAUS,17,0,100,0,0,0,0,
NIKOLAY,90,0,100,0,0,0,0,
NIKOLE,34,0,97.059,2.941,0,0,0,
NILA,36,2.778,69.444,0,27.778,0,0,
NILDA,67,74.627,8.955,0,16.418,0,0,
NILES,35,2.857,97.143,0,0,0,0,
NILESH,56,0,19.643,0,78.571,1.786,0,
NILS,57,1.754,98.246,0,0,0,0,
NINA,716,3.492,83.52,4.749,7.682,0.279,0.279,
NING,61,0,3.279,0,96.721,0,0,
NIRMAL,39,2.564,28.205,0,66.667,0,2.564,
NIRMALA,38,0,15.789,5.263,78.947,0,0,
NISHA,53,0,26.415,3.774,67.925,1.887,0,
NITA,106,0.943,67.925,0,30.189,0.943,0,
NITIN,77,1.299,18.182,0,76.623,2.597,1.299,
NOAH,264,1.515,92.045,2.273,3.409,0.379,0.379,
NOE,136,90.441,6.618,0,2.941,0,0,
NOEL,566,19.435,62.367,4.24,13.604,0.177,0.177,
NOELIA,34,73.529,26.471,0,0,0,0,
NOELLE,186,1.075,93.548,2.688,2.151,0.538,0,
NOEMI,106,65.094,15.094,2.83,16.981,0,0,
NOLA,79,1.266,91.139,7.595,0,0,0,
NOLAN,137,1.46,83.942,5.109,9.489,0,0,
NONA,77,1.299,83.117,10.39,3.896,0,1.299,
NORA,573,20.07,68.586,3.839,7.155,0,0.349,
NORBERT,143,2.797,90.909,2.797,2.797,0.699,0,
NORBERTO,78,79.487,8.974,0,11.538,0,0,
NOREEN,301,1.329,90.698,1.661,5.98,0.332,0,
NORINE,35,0,91.429,0,8.571,0,0,
NORM,23,0,100,0,0,0,0,
NORMA,1487,34.028,55.884,6.052,3.497,0.269,0.269,
NORMAN,1695,1.416,88.791,5.133,4.366,0.177,0.118,
NORMAND,46,0,95.652,0,2.174,0,2.174,
NORRIS,55,0,61.818,32.727,5.455,0,0,
NUBIA,34,94.118,5.882,0,0,0,0,
NUNZIO,16,0,100,0,0,0,0,
NYDIA,32,65.625,28.125,0,6.25,0,0,
OANH,43,0,4.651,2.326,93.023,0,0,
OBDULIA,15,100,0,0,0,0,0,
OCTAVIA,31,9.677,19.355,70.968,0,0,0,
OCTAVIANO,16,100,0,0,0,0,0,
OCTAVIO,151,88.079,10.596,0.662,0.662,0,0,
ODELL,33,0,36.364,63.636,0,0,0,
